Date,Currency,Category,Country,Amount
2023-06-13 19:23:38+00:00,USD,General,US,96.62
2023-06-13 19:32:22+00:00,USD,100 Drones for Ukraine,US,100.0
2023-06-13 19:36:52+00:00,USD,General,US,25.0
2023-06-13 20:33:01+00:00,USD,General,UA,477.56
2023-06-13 21:22:02+00:00,USD,General,ES,18.63
2023-06-13 22:00:04+00:00,USD,General,DE,9.84
2023-06-14 00:35:30+00:00,USD,General,CA,49.22
2023-06-14 12:41:49+00:00,USD,General,AU,95.12
2023-06-14 13:36:25+00:00,USD,100 Drones for Ukraine,US,40.0
2023-06-14 14:57:21+00:00,USD,General,US,100.0
2023-06-14 15:58:30+00:00,USD,100 Drones for Ukraine,US,23.79
2023-06-14 17:36:49+00:00,USD,General,PL,4.29
2023-06-14 20:35:19+00:00,USD,General,DE,190.73
2023-06-14 20:46:20+00:00,USD,General,DE,49.22
2023-06-14 21:51:02+00:00,USD,,,5000.0
2023-06-15 02:25:49+00:00,USD,General,US,40.0
2023-06-15 13:00:21+00:00,USD,General,PL,190.73
2023-06-15 18:24:06+00:00,USD,General,BE,47.31
2023-06-15 20:57:29+00:00,USD,100 Drones for Ukraine,US,50.0
2023-06-15 21:27:31+00:00,USD,Victory Drones,DE,98.45
2023-06-15 23:09:21+00:00,USD,100 Drones for Ukraine,MX,19.68
2023-06-16 03:08:03+00:00,USD,General,CA,14.76
2023-06-16 05:57:45+00:00,USD,General,FR,286.34
2023-06-16 07:11:32+00:00,USD,General,PL,492.26
2023-06-16 11:00:24+00:00,USD,General,EE,20.75
2023-06-16 16:12:54+00:00,USD,100 Drones for Ukraine,US,20.0
2023-06-16 19:50:38+00:00,USD,General,PL,196.91
2023-06-16 20:10:54+00:00,USD,100 Drones for Ukraine,CA,49.22
2023-06-16 21:22:21+00:00,USD,General,NL,295.36
2023-06-17 01:42:30+00:00,USD,General,CA,98.45
2023-06-17 04:58:02+00:00,USD,General,LT,49.22
2023-06-17 09:29:01+00:00,USD,General,DE,19.68
2023-06-17 17:25:18+00:00,USD,100 Drones for Ukraine,US,25.0
2023-06-17 19:21:04+00:00,USD,100 Drones for Ukraine,US,50.0
2023-06-17 19:28:21+00:00,USD,100 Drones for Ukraine,AE,20.54
2023-06-17 20:38:24+00:00,USD,General,GB,9.84
2023-06-18 03:37:32+00:00,USD,General,US,85.0
2023-06-18 13:11:07+00:00,USD,100 Drones for Ukraine,DE,14.76
2023-06-18 20:34:43+00:00,USD,100 Drones for Ukraine,US,48.06
2023-06-18 20:41:39+00:00,USD,100 Drones for Ukraine,US,9.22
2023-06-18 21:56:33+00:00,USD,100 Drones for Ukraine,US,5.0
2023-06-19 12:23:49+00:00,GBP,,GB,47.75
2023-06-19 21:41:38+00:00,USD,General,DE,49.22
2023-06-20 00:56:31+00:00,USD,General,US,96.62
2023-06-20 10:44:58+00:00,USD,General,CA,9.07
2023-06-21 10:34:09+00:00,USD,General,US,50.0
2023-06-21 11:04:30+00:00,USD,General,PL,24.61
2023-06-21 19:10:23+00:00,USD,100 Drones for Ukraine,US,25.0
2023-06-21 19:29:11+00:00,USD,General,US,50.0
2023-06-21 20:23:14+00:00,USD,General,AT,95.12
2023-06-23 18:07:29+00:00,USD,General,LT,196.91
2023-06-24 13:44:12+00:00,USD,General,US,102.45
2023-06-24 16:19:40+00:00,USD,General,US,96.62
2023-06-24 17:41:06+00:00,USD,General,ES,47.31
2023-06-25 00:09:06+00:00,USD,,,3000.0
2023-06-25 13:13:27+00:00,USD,General,IT,47.31
2023-06-25 14:25:54+00:00,USD,General,PL,42.53
2023-06-25 15:19:35+00:00,USD,General,NL,295.36
2023-06-25 15:44:01+00:00,USD,General,DE,994.58
2023-06-25 17:34:30+00:00,USD,General,US,500.0
2023-06-25 17:56:55+00:00,USD,General,US,30.0
